,Unnamed: 0,Country,Country Code,Series,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2020 [YR2020]
79,79,Brazil,BRA,PISA: Mean performance on the reading scale,LO.PISA.REA,,411.754927512485,,,410.121847655763,,,,
80,80,Brazil,BRA,PISA: Mean performance on the science scale,LO.PISA.SCI,,405.40398876308404,,,404.710529258465,,,,
81,81,Brunei Darussalam,BRN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
82,82,Brunei Darussalam,BRN,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
83,83,Brunei Darussalam,BRN,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
84,84,Bulgaria,BGR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,428.066142786167,,,438.738259877416,,,,
85,85,Bulgaria,BGR,PISA: Mean performance on the reading scale,LO.PISA.REA,,429.081086959532,,,436.125725278661,,,,
86,86,Bulgaria,BGR,PISA: Mean performance on the science scale,LO.PISA.SCI,,439.294148733668,,,446.4687093761929,,,,
87,87,Burkina Faso,BFA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
88,88,Burkina Faso,BFA,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
89,89,Burkina Faso,BFA,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
90,90,Burundi,BDI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
91,91,Burundi,BDI,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
92,92,Burundi,BDI,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
93,93,Cabo Verde,CPV,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
94,94,Cabo Verde,CPV,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
95,95,Cabo Verde,CPV,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
96,96,Cambodia,KHM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
97,97,Cambodia,KHM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
98,98,Cambodia,KHM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
99,99,Cameroon,CMR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
100,100,Cameroon,CMR,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
101,101,Cameroon,CMR,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
102,102,Canada,CAN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,526.805152750932,,,518.070399595951,,,,
103,103,Canada,CAN,PISA: Mean performance on the reading scale,LO.PISA.REA,,524.241833408575,,,523.1167184215541,,,,
104,104,Canada,CAN,PISA: Mean performance on the science scale,LO.PISA.SCI,,528.704953213355,,,525.460969751711,,,,
105,105,Cayman Islands,CYM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
106,106,Cayman Islands,CYM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
107,107,Cayman Islands,CYM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
108,108,Central African Republic,CAF,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
109,109,Central African Republic,CAF,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
110,110,Central African Republic,CAF,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
111,111,Chad,TCD,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
112,112,Chad,TCD,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
113,113,Chad,TCD,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
114,114,Channel Islands,CHI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
115,115,Channel Islands,CHI,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
116,116,Channel Islands,CHI,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
117,117,Chile,CHL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,421.06047296124495,,,422.63235540551904,,,,
118,118,Chile,CHL,PISA: Mean performance on the reading scale,LO.PISA.REA,,449.369606817505,,,441.398163345356,,,,
119,119,Chile,CHL,PISA: Mean performance on the science scale,LO.PISA.SCI,,447.4673599324049,,,444.9339196949469,,,,
120,120,China,CHN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,600.076252920147,,,612.6755363054531,,,,
121,121,China,CHN,PISA: Mean performance on the reading scale,LO.PISA.REA,,555.8281133508731,,,569.5884077490059,,,,
122,122,China,CHN,PISA: Mean performance on the science scale,LO.PISA.SCI,,574.617354693275,,,580.117830848225,,,,
123,123,Colombia,COL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,380.8482148754709,,,376.488601072821,,,,
124,124,Colombia,COL,PISA: Mean performance on the reading scale,LO.PISA.REA,,413.181499141822,,,403.40253410220396,,,,
125,125,Colombia,COL,PISA: Mean performance on the science scale,LO.PISA.SCI,,401.75011529874604,,,398.678631615801,,,,
126,126,Comoros,COM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
127,127,Comoros,COM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
128,128,Comoros,COM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
129,129,"Congo, Dem. Rep.",ZAR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
130,130,"Congo, Dem. Rep.",ZAR,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
131,131,"Congo, Dem. Rep.",ZAR,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
132,132,"Congo, Rep.",COG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
133,133,"Congo, Rep.",COG,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
134,134,"Congo, Rep.",COG,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
135,135,Costa Rica,CRI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,409.38536912728205,,,406.999866988793,,,,
136,136,Costa Rica,CRI,PISA: Mean performance on the reading scale,LO.PISA.REA,,442.58094355888,,,440.547810670284,,,,
137,137,Costa Rica,CRI,PISA: Mean performance on the science scale,LO.PISA.SCI,,430.481279216419,,,429.350967542248,,,,
138,138,Cote d'Ivoire,CIV,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
139,139,Cote d'Ivoire,CIV,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
140,140,Cote d'Ivoire,CIV,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
141,141,Croatia,HRV,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,459.938917902581,,,471.13146075924794,,,,
142,142,Croatia,HRV,PISA: Mean performance on the reading scale,LO.PISA.REA,,475.74888637867,,,484.565032125693,,,,
143,143,Croatia,HRV,PISA: Mean performance on the science scale,LO.PISA.SCI,,486.363448789666,,,491.35658283423,,,,
144,144,Cuba,CUB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
145,145,Cuba,CUB,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
146,146,Cuba,CUB,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
147,147,Curacao,CUW,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
148,148,Curacao,CUW,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
149,149,Curacao,CUW,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
150,150,Cyprus,CYP,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
151,151,Cyprus,CYP,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,448.95297870358803,,,,
152,152,Cyprus,CYP,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,437.67645896249803,,,,
153,153,Czech Republic,CZE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,492.814094257394,,,498.95788231768,,,,
154,154,Czech Republic,CZE,PISA: Mean performance on the reading scale,LO.PISA.REA,,478.186720579341,,,492.889738211482,,,,
155,155,Czech Republic,CZE,PISA: Mean performance on the science scale,LO.PISA.SCI,,500.49706602884805,,,508.29907935427,,,,
156,156,Denmark,DNK,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,503.27814716139693,,,500.02675662541395,,,,
157,157,Denmark,DNK,PISA: Mean performance on the reading scale,LO.PISA.REA,,494.9161617963969,,,496.130881383569,,,,
158,158,Denmark,DNK,PISA: Mean performance on the science scale,LO.PISA.SCI,,499.3369746861129,,,498.474201429469,,,,
159,159,Djibouti,DJI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
160,160,Djibouti,DJI,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
161,161,Djibouti,DJI,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
162,162,Dominica,DMA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
163,163,Dominica,DMA,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
164,164,Dominica,DMA,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
